Title,Authors,Publisher,Publish Date,Price,Category
Star Wars : Return of the Jedi,"By Kahn, James",Random House Worlds,"Sunday, May 1, 1983",Price Starting at $5.29, Fiction 
The Good German: A Novel,"By Kanon, Joseph",Henry Holt and Co.,"Monday, October 1, 2001",Price Starting at $10.99, Fiction 
Activists beyond Borders: Advocacy Networks in International Politics,"By Keck, Margaret E. and Sikkink, Kathryn",Cornell University Press,"Wednesday, April 1, 1998",Price Starting at $5.29, Social Science 
Home of the Braves,"By Klass, David",HarperTeen,"Thursday, April 1, 2004",Price Starting at $4.99, Young Adult Fiction 
Disclosed: Inside the Palestinian Authority and the PLO,"By Kushner, Arlene",Pavilion Press,"Thursday, April 1, 2004",Price Starting at $5.29, History 
John's Story: The Last Eyewitness,"By LaHaye, Tim F. and Jenkins, Jerry B.",Putnam Praise,"Wednesday, November 1, 2006",Price Starting at $5.29, Fiction 
"The Europa Conspiracy (Babylon Rising, Book 3)","By LaHaye, Tim F. and Phillips, Bob",Bantam,"Thursday, September 1, 2005",Price Starting at $4.99, Fiction 
The Red Balloon,"By Lamorisse, Albert",Doubleday Books for Young Readers,"Tuesday, August 1, 1967",Price Starting at $4.99, Juvenile Fiction 
All I Could Get,"By Lasser, Scott",Knopf,"Friday, March 1, 2002",Price Starting at $5.29, Fiction 
"Forbidden Pleasure (Bound Hearts, Book 8)","By Leigh, Lora",St. Martin's Griffin,"Friday, June 1, 2007",Price Starting at $5.29, Fiction 
"Love, Marriage & Money: Understanding and Achieving Financial Compatibility Before-And-After-You Say ""I Do""","By Liberman, Gail and Lavine, Alan",Dearborn Trade Pub,"Friday, May 1, 1998",Price Starting at $5.42, Business & Economics 
Geographic Information Systems and Science,"By Longley, Paul, Goodchild, Michael, Maguire, David J., and Rhind, David W.",Wiley,"Tuesday, March 1, 2005",Price Starting at $7.23, Science 
When Your Child Needs a Hug (A When book),"By Losoncy, Larry",Abbey Pr,"Saturday, July 1, 1978",Price Starting at $4.99, Religion 
"Ann Lovejoy's Organic Garden Design School: A Guide for Creating Your Own Beautiful, Easy-Care Garden (A Rodale Organic Gardening Book)","By Lovejoy, Ann",Rodale Books,"Thursday, March 1, 2001",Price Starting at $17.04, Gardening 
Guide to the Battle of Gettysburg (U.S. Army War College Guides to Civil War Battles),"By Luvaas, Jay",Univ Pr of Kansas,"Tuesday, November 1, 1994",Price Starting at $5.29, History 
The Exercise High,"By Maharam, Lewis G.",Ballantine Books,"Tuesday, February 1, 1994",Price Starting at $7.17, Health & Fitness 
The Christmas Kite (Steeple Hill Women's Fiction #2),"By Martin, Gail Gaymer",Steeple Hill,"Saturday, November 1, 2003",Price Starting at $5.29, Fiction 
Cannonball Chris (Step into Reading),"By Marzollo, Jean and Sims, Blanche (ILT)",Random House Books for Young Readers,"Thursday, October 1, 1987",Price Starting at $4.99, Juvenile Fiction 
Earl Mindell's Soy Miracle Cookbook,"By Mindell, Earl",Fireside,"Sunday, October 1, 1995",Price Starting at $4.99, Cooking 
"Talking Back...To Presidents, Dictators, and Assorted Scoundrels","By Mitchell, Andrea",Viking,"Saturday, January 1, 2005",Price Starting at $4.99, Biography & Autobiography 
Tomas and the Library Lady (Dragonfly Books),"By Mora, Pat and Colon, Raul (ILT)",Dragonfly Books,"Tuesday, February 1, 2000",Price Starting at $5.29, Juvenile Nonfiction 
The Word Detective,"By Morris, Evan",Algonquin Books,"Friday, September 1, 2000",Price Starting at $4.99, Language Arts & Disciplines 
Investing Bible,"By O'Shaughnessy, Lynne",Wiley,"Saturday, September 1, 2001",Price Starting at $5.29, Business & Economics 
The Patient,"By Palmer, Michael",Bantam,"Saturday, April 1, 2000",Price Starting at $5.29, Fiction 
Roses Are Red (Alex Cross),"By Patterson, James",Vision,"Monday, October 1, 2001",Price Starting at $4.99, Fiction 
"Priestess of Avalon (Avalon, Book 4)","By Paxson, Diana L. and Bradley, Marion Zimmer",Viking,"Saturday, January 1, 2000",Price Starting at $5.58, Fiction 
The Selling of the Royal Family: The Mystique of the British Monarchy,"By Pearson, John",Simon & Schuster,"Thursday, May 1, 1986",Price Starting at $5.35, History 
Savoir-Flair: 211 Tips for Enjoying France and the French,"By Platt, Polly and Grchich, Ande (ILT)",Distribooks Inc,"Tuesday, February 1, 2000",Price Starting at $5.29, Travel 
Photoshop Elements 4: The Missing Manual,By Pogue Press,O'Reilly Media,"Tuesday, November 1, 2005",Price Starting at $5.32, Photography 
To All the Nations: The Billy Graham Story,"By Pollock, John Charles",HarperCollins,"Friday, March 1, 1985",Price Starting at $4.99, Religion 
Frommer's Switzerland (Frommer's Complete Guides),"By Porter, Darwin and Prince, Danforth",*Frommers,"Friday, February 1, 2008",Price Starting at $4.99, Travel 
A Royal Murder,"By Roosevelt, Elliott",St Martins Pr,"Monday, August 1, 1994",Price Starting at $5.29, Fiction 
Creature,"By Saul, John",Bantam,"Monday, May 1, 1989",Price Starting at $12.51, Fiction 
Freshwater Game Fish of North America,"By Schaffner, Herbert A.",Gallery Books,"Thursday, March 1, 1990",Price Starting at $6.06, Sports & Recreation 
FIRE's Guide to Free Speech on Campus (FIRE'S GUIDES TO STUDENT RIGHTS ON CAMPUS.),"By Silverglate, Harvey A., French, David A., and Lukianoff, Greg",Foundation for Individual Rights in Education,"Wednesday, December 1, 2004",Price Starting at $5.29, Social Science 
After the Revolution,"By Smith, Barbara Clark",Pantheon,"Sunday, December 1, 1985",Price Starting at $5.29, Young Adult Nonfiction 
A New View from the Castle,"By Smithsonian Institution (COR), Park, Edwards, and Carlhian, Jean Paul",Smithsonian,"Thursday, October 1, 1987",Price Starting at $4.99, Architecture 
Sisters: Book Two Of The River Of Freedom Series <i>a Novel</i>,"By Stafford, Tim",Thomas Nelson,"Friday, September 1, 2000",Price Starting at $5.29, Fiction 
The Martha Stewart Cookbook: Collected Recipes for Every Day,"By Stewart, Martha and Finamore, Roy (EDT)",Clarkson Potter,"Sunday, October 1, 1995",Price Starting at $9.89, Cooking 
Mother's: A Celebration,"By Stoddard, Alexandra",PerfectBound,"Tuesday, April 1, 1997",Price Starting at $5.29, Family & Relationships 
Literacy Leadership for Grades 5-12,"By Taylor, Rosemarye and Collins, Valerie Doyle",ASCD,"Saturday, February 1, 2003",Price Starting at $4.99, Education 
Capital Cuisine,By Telephone Pioneer of America,Favorite Recipes Pr,"Thursday, August 1, 1991",Price Starting at $5.29, Cooking 
A Life In School: What The Teacher Learned,"By Tompkins, Jane",Perseus Books,"Sunday, December 1, 1996",Price Starting at $5.29, Biography & Autobiography 
Killings,"By Trillin, Calvin",Ticknor & Fields,"Wednesday, February 1, 1984",Price Starting at $5.29, Political Science 
The Language of Threads: A Novel,"By Tsukiyama, Gail",St. Martin's Griffin,"Friday, September 1, 2000",Price Starting at $4.99, Fiction 
Managing Generation X: How to Bring Out the Best in Young Talent,"By Tulgan, Bruce",W. W. Norton & Company,"Tuesday, August 1, 2000",Price Starting at $5.29, Business & Economics 
Content Area Reading: Literacy and Learning Across the Curriculum (8th Edition),"By Vacca, Jo Anne L. and Vacca, Richard T.",Allyn & Bacon,"Saturday, May 1, 2004",Price Starting at $6.42, Language Arts & Disciplines 
Slow Waltz in Cedar Bend,"By Waller, Robert James",Warner Books,"Monday, November 1, 1993",Price Starting at $4.99, Fiction 
Best Friends Forever,"By Weiner, Jennifer",Washington Square Press,"Thursday, January 1, 2009",Price Starting at $5.29, Fiction 
De-Coding Da Vinci: The Facts Behind the Fiction of The Da Vinci Code,"By Welborn, Amy",Our Sunday Visitor,"Thursday, April 1, 2004",Price Starting at $5.29, Literary Criticism 
"The Maiden's Hand (Tudor Rose, 2)","By Wiggs, Susan",MIRA,"Saturday, August 1, 2009",Price Starting at $5.29, Fiction 
Pirates: Swashbuckling Stories from the Seven Seas,"By Willis, Jennifer Schwamm (EDT)",Da Capo Press,"Friday, October 1, 2004",Price Starting at $4.99, Fiction 
A Hole in Texas: A Novel,"By wouk, herman",Back Bay Books,"Wednesday, June 1, 2005",Price Starting at $5.29, Fiction 
I Need an Easter Egg,"By Ziefert, Harriet and Rader, Laura (ILT)",Little Simon,"Monday, February 1, 1999",Price Starting at $5.29, Juvenile Fiction 
The Abs Diet Eat Right Every Time Guide,"By Zinczenko, David and Spiker, Ted",Rodale Books,"Saturday, January 1, 2005",Price Starting at $5.29, Health & Fitness 
