Year,Facilities,Vanue,Usage,District,Remarks
2020,Activity Room,Fung Kam Street Sports Centre,66%,Yuen Long,
2020,Activity Room,Long Ping Sports Centre,48%,Yuen Long,
2020,Activity Room,Ping Shan Tin Shui Wai Sports Centre,75%,Yuen Long,
2020,Activity Room,Tin Fai Road Sports Centre,68%,Yuen Long,
2020,Activity Room,Tin Shui Sports Centre,61%,Yuen Long,
2020,Activity Room,Tin Shui Wai Sports Centre,55%,Yuen Long,
2020,Activity Room,Yuen Long Sports Centre,73%,Yuen Long,
2021,Activity Room,Shek Tong Tsui Sports Centre,0%,Central & Western,
2021,Activity Room,Smithfield Sports Centre,85%,Central & Western,
2021,Activity Room,Chai Wan Sports Centre,85%,Eastern,
2021,Activity Room,Island East Sports Centre,91%,Eastern,
2021,Activity Room,Java Road Sports Centre,90%,Eastern,
2021,Activity Room,Sai Wan Ho Sports Centre,0%,Eastern,
2021,Activity Room,Siu Sai Wan Sports Centre,85%,Eastern,
2021,Activity Room,Cheung Chau Sports Centre,48%,Islands,
2021,Activity Room,Mui Wo Sports Centre,48%,Islands,
2021,Activity Room,Peng Chau Sports Centre,42%,Islands,
2021,Activity Room,Praya Street Sports Centre,53%,Islands,
2021,Activity Room,Tung Chung Man Tung Road Sports Centre,85%,Islands,
2021,Activity Room,Tung Chung North Park,90%,Islands,
2021,Activity Room,Fat Kwong Street Sports Centre,80%,Kowloon City,
2021,Activity Room,Ho Man Tin Sports Centre,48%,Kowloon City,
2021,Activity Room,Hung Hom Municipal Services Building Sports Centre,94%,Kowloon City,
2021,Activity Room,Kowloon City Sports Centre,85%,Kowloon City,
2021,Activity Room,To Kwa Wan Sports Centre,0%,Kowloon City,
2021,Activity Room,Fung Shue Wo Sports Centre,68%,Kwai Tsing,
2021,Activity Room,North Kwai Chung Tang Shiu Kin Sports Centre,79%,Kwai Tsing,
2021,Activity Room,Osman Ramju Sadick Memorial Sports Centre,0%,Kwai Tsing,
2021,Activity Room,Tai Wo Hau Sports Centre,82%,Kwai Tsing,
2021,Activity Room,Tsing Yi Southwest Sports Centre,82%,Kwai Tsing,
2021,Activity Room,Tsing Yi Sports Centre,82%,Kwai Tsing,
2021,Activity Room,Choi Wing Road Sports Centre,32%,Kwun Tong,
2021,Activity Room,Chun Wah Road Sports Centre,87%,Kwun Tong,
2021,Activity Room,Hiu Kwong Street Sports Centre,0%,Kwun Tong,
2021,Activity Room,Kowloon Bay Sports Centre,0%,Kwun Tong,
2021,Activity Room,Lam Tin South Sports Centre,76%,Kwun Tong,
2021,Activity Room,Lei Yue Mun Sports Centre,75%,Kwun Tong,
2021,Activity Room,Ngau Tau Kok Road Sports Centre,0%,Kwun Tong,
2021,Activity Room,Shui Wo Street Sports Centre,84%,Kwun Tong,
2021,Activity Room,Luen Wo Hui Sports Centre,83%,North,
2021,Activity Room,Po Wing Road Sports Centre,87%,North,
2021,Activity Room,Hang Hau Sports Centre,81%,Sai Kung,
2021,Activity Room,Hong Kong Velodrome,68%,Sai Kung,
2021,Activity Room,Po Lam Sports Centre,79%,Sai Kung,
2021,Activity Room,Tiu Keng Leng Sports Centre,84%,Sai Kung,
2021,Activity Room,Tseung Kwan O Sport Centre,0%,Sai Kung,
2021,Activity Room,Tseung Kwan O Sports Ground,65%,Sai Kung,
2021,Activity Room,Tsui Lam Sports Centre,75%,Sai Kung,
2021,Activity Room,Che Kung Temple Sports Centre,85%,Sha Tin,
2021,Activity Room,Heng On Sports Centre,94%,Sha Tin,
2021,Activity Room,Hin Keng Sports Centre,87%,Sha Tin,
2021,Activity Room,Ma On Shan Sports Centre,90%,Sha Tin,
2021,Activity Room,Mei Lam Sports Centre,79%,Sha Tin,
2021,Activity Room,Yuen Chau Kok Sports Centre,90%,Sha Tin,
2021,Activity Room,Yuen Wo Road Sports Centre,0%,Sha Tin,
2021,Activity Room,Pei Ho Street Sports Centre,62%,Sham Shui Po,
2021,Activity Room,Po On Road Sports Centre,88%,Sham Shui Po,
2021,Activity Room,Shek Kip Mei Park Sports Centre,79%,Sham Shui Po,
2021,Activity Room,Tung Chau Street Park,79%,Sham Shui Po,
2021,Activity Room,Aberdeen Sports Centre,78%,Southern,
2021,Activity Room,Ap Lei Chau Sports Centre,62%,Southern,
2021,Activity Room,Stanley Sports Centre,58%,Southern,
2021,Activity Room,Wong Chuk Hang Sports Centre,77%,Southern,
2021,Activity Room,Yue Kwong Road Sports Centre,75%,Southern,
2021,Activity Room,Fu Heng Sports Centre,84%,Tai Po,
2021,Activity Room,Fu Shin Sports Centre,76%,Tai Po,
2021,Activity Room,Tai Po Hui Sports Centre,84%,Tai Po,
2021,Activity Room,Tai Wo Sports Centre,0%,Tai Po,
2021,Activity Room,Tsuen King Circuit Sports Centre,75%,Tsuen Wan,
2021,Activity Room,Tsuen Wan Sports Centre,85%,Tsuen Wan,
2021,Activity Room,Tsuen Wan West Sports Centre,94%,Tsuen Wan,
2021,Activity Room,Wai Tsuen Sports Centre,0%,Tsuen Wan,
2021,Activity Room,Yeung Uk Road Sports Centre,86%,Tsuen Wan,
2021,Activity Room,JC Tuen Mun Butterfly Beach Sports Centre,68%,Tuen Mun,
2021,Activity Room,Leung Tin Sports Centre,88%,Tuen Mun,
2021,Activity Room,Siu Lun Sports Centre,81%,Tuen Mun,
2021,Activity Room,Tai Hing Sports Centre,82%,Tuen Mun,
2021,Activity Room,Yau Oi Sports Centre,0%,Tuen Mun,
2021,Activity Room,Wong Nai Chung Sports Centre,87%,Wan Chai,
2021,Activity Room,Choi Hung Road Sports Centre,83%,Wong Tai Sin,
